procWeight, totalSymbols, maximumResourceConsumption, reproductionLength, localCELength, stackHeight, numReturns
5.0, 100, 78, 78, 3, 46, 15
5.0, 1000, 320, 310, 2, 155, 309
5.0, 10000, 682, 564, 0, 260, 3844
5.0, 100000, 765, 564, 1, 255, 39839
5.0, 1000000, 886, 642, 7, 265, 399543
0.5, 1000000000, 152733, 152446, 7, 9, 142833045
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 7, 6, 0, 2, 1
1.0, 100, 70, 70, 0, 18, 11
1.0, 1000, 248, 231, 0, 39, 203
1.0, 10000, 249, 183, 0, 32, 2212
1.0, 100000, 262, 103, 6, 18, 22328
1.0, 1000000, 310, 211, 0, 25, 222338
5.0, 10000000, 964, 740, 2, 295, 3998959
0.5, 1000000000, 62110, 61958, 6, 8, 142844344
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 938, 938, 9, 2, 2
0.01, 10000, 8776, 8764, 8763, 1, 44
0.01, 100000, 90162, 90160, 90159, 1, 375
0.01, 1000000, 893938, 893938, 893937, 1, 3883
1.0, 10000000, 378, 220, 4, 27, 2222851
5.0, 1000000000, 1745, 1180, 3, 501, 400003326
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 951, 951, 50, 2, 3
0.01, 10000, 9305, 9305, 9304, 1, 30
0.01, 100000, 90143, 90143, 90142, 1, 357
0.01, 1000000, 892264, 892264, 892263, 1, 3941
0.01, 10000000, 8930199, 8930199, 8930198, 1, 39329
0.01, 10000000, 8928328, 8928328, 8928327, 1, 39562
1.0, 1000000000, 624, 368, 3, 25, 222240918
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 0, 7, 0
2.0, 100, 74, 74, 0, 28, 14
2.0, 1000, 234, 188, 6, 59, 281
2.0, 10000, 287, 185, 3, 65, 3079
2.0, 100000, 348, 209, 4, 62, 30792
2.0, 1000000, 386, 211, 3, 63, 308147
2.0, 10000000, 449, 274, 1, 63, 3078387
5.0, 1000000000, 868, 408, 3, 166, 400020377
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 0, 6, 0
1.0, 100, 59, 59, 3, 17, 12
1.0, 1000, 128, 128, 5, 26, 187
1.0, 10000, 230, 192, 7, 29, 2137
1.0, 100000, 275, 148, 8, 23, 22140
1.0, 1000000, 349, 129, 0, 17, 222260
1.0, 10000000, 396, 222, 0, 37, 2221697
5.0, 100000000, 1026, 610, 0, 267, 39998404
0.1, 1000000000, 270368544, 270368544, 28, 5, 37034350
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 6, 2, 0
0.5, 100, 59, 59, 17, 7, 8
0.5, 1000, 149, 40, 26, 3, 132
0.5, 10000, 288, 220, 13, 11, 1427
0.5, 100000, 355, 190, 0, 16, 14298
0.5, 1000000, 490, 269, 2, 7, 142801
1.0, 100000000, 464, 171, 4, 22, 22230003
0.01, 100000000, 89252548, 89252548, 89252547, 1, 397542
0.5, 10000000, 1328, 1126, 0, 16, 1429282
0.01, 100000000, 89312732, 89312732, 22, 2, 396250
0.5, 1000000000, 225279, 225045, 6, 7, 142850639
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 897, 897, 19, 2, 5
0.01, 10000, 9011, 9011, 9010, 1, 39
0.01, 100000, 89319, 89319, 89318, 1, 415
0.01, 1000000, 898659, 898659, 898658, 1, 4023
0.01, 10000000, 9015826, 9015826, 9015825, 1, 39537
2.0, 100000000, 467, 228, 19, 51, 30771036
1.0, 100000000, 491, 167, 8, 26, 22220921
0.5, 100000000, 8800, 8627, 0, 10, 14290730
